"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2"
"Psychrobacter",0.0,0.0,0.0,0.0005271481286241434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acinetobacter",0.009510051763572891,0.00397283096245034,0.004362166187892329,0.0031628887717448603,0.019883510745129545,0.004526707574690675,0.040128617363344055,0.0034411562284927736,0.0053068758652515,0.0,0.0015717567404183292,0.1123817444640815,0.0034602076124567475
"Cardiobacterium",0.0,0.0,0.03766358123204596,0.0,0.0,0.0,0.0,0.0,0.0,0.004080118694362018,0.0,0.0,0.025337649291215538
"Neisseria",0.0,0.0,0.0006383657835939994,0.0,0.0,0.0,0.0,0.0066529020417526955,0.00011536686663590217,0.0,0.0,0.0,0.006808795624511664
"Burkholderia",0.0,0.0007689350249903883,0.00042557718906266625,0.0021085925144965737,0.0014059048001606748,0.010059350165979277,0.0,0.00034411562284927734,0.0018458698661744347,0.0,0.001088139281828074,0.0016633745711612433,0.0005580980020091528
"Massilia",0.0,0.0,0.0,0.0,0.003414340228961639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ralstonia",0.00036114120621162876,0.0,0.0047877433769549956,0.005060622034791776,0.0002008435428800964,0.01740267578714415,0.014405144694533762,0.0,0.0024227041993539456,0.0,0.0016926611050658929,0.018920885746959142,0.0003348588012054917
"Delftia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011470520761642578,0.0,0.0006181998021760633,0.0,0.0,0.0
"Acidovorax",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ottowia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009460442873479571,0.0
"Variovorax",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrogenophaga",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004588208304657031,0.0,0.0,0.0,0.0,0.0
"Comamonas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Schlegelella",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010323468685478321,0.0,0.0,0.0,0.0,0.0
"Pelomonas",0.021307331166486095,0.0006407791874919902,0.0047877433769549956,0.008118081180811807,0.002008435428800964,0.017704456292123527,0.004244372990353698,0.002638219775177793,0.024111675126903553,0.0,0.002176278563656148,0.29545690820251586,0.0005580980020091528
"Achromobacter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcaligenes",0.0,0.0015378700499807767,0.0,0.0,0.0,0.0,0.0005144694533762058,0.0,0.0,0.0,0.0,0.00031188273209273315,0.0
"Lautropia",0.0,0.0,0.0032982232152356634,0.0,0.0,0.0,0.0,0.00011470520761642578,0.00023073373327180433,0.0,0.00012090436464756378,0.0,0.0
"Bradyrhizobium",0.0,0.0,0.0,0.0,0.0,0.0007041545116185494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Brevundimonas",0.0,0.0,0.0010639429726566655,0.0008434370057986294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053020064455764635,0.0
"Rubellimicrobium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Paracocccus",0.0,0.0,0.00021278859453133312,0.0,0.0,0.000905341514938135,0.0,0.00011470520761642578,0.0,0.0,0.0,0.0,0.0
"Mesorhizobium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007254261878853826,0.028797172263229025,0.0
"Deinococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pleurocapsa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Camelina sativa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peptococcus",0.0,0.0,0.00042557718906266625,0.0,0.0,0.0,0.0,0.0025235145675613674,0.0,0.0,0.0,0.0,0.0
"Peptostreptococcus",0.0,0.0,0.0025534631343759975,0.008223510806536636,0.0,0.0,0.0,0.02993805918788713,0.021919704660821413,0.08852621167161226,0.02756619513964454,0.0,0.006920415224913495
"uncultured bacterium",0.0,0.0035883634499551454,0.024896265560165973,0.02561939905113337,0.0,0.0007041545116185494,0.00887459807073955,0.0146822665749025,0.0027688047992616522,0.008531157270029673,0.019707411437552894,0.0,0.002790490010045764
"Candidatus Saccharimonas",0.0,0.012559272074843008,0.00308543462070433,0.003900896151818661,0.0,0.0,0.0,0.0025235145675613674,0.0,0.004327398615232443,0.0071333575142062625,0.0,0.042415448152695615
"Mogibacterium",0.0,0.02691272587466359,0.0,0.0024248813916710596,0.0,0.0,0.0,0.0043587978894241795,0.00034610059990770653,0.018916913946587538,0.009067827348567283,0.0,0.008259850429735462
"Family XIII UCG-001",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004588208304657031,0.0,0.0,0.0,0.0,0.0
"uncultured",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011470520761642578,0.00046146746654360867,0.0030909990108803167,0.0,0.0,0.0
"[Eubacterium] brachy group",0.0,0.040369088811995385,0.008405149483987658,0.006958355297838692,0.0,0.0,0.0,0.023170451938518008,0.018920166128287955,0.017062314540059347,0.012090436464756377,0.0,0.0
"unidentified",0.0,0.0,0.0,0.01676331049024776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Filifactor",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006767607249369121,0.0,0.0,0.0,0.0,0.0
"Peptoclostridium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008029364533149805,0.0,0.0,0.0,0.0,0.0006697176024109834
"Anaerococcus",0.0,0.0,0.0,0.0279388508170796,0.02239405503113075,0.00020118700331958554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peptoniphilus",0.0,0.004229142637447136,0.0,0.004322614654717976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Finegoldia",0.0,0.0,0.0,0.0,0.004619401486242217,0.00181068302987627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Parvimonas",0.0,0.13007817506087402,0.0,0.03110173958882446,0.0,0.00010059350165979277,0.0,0.011011699931176875,0.006114443931702815,0.042903066271018794,0.01958650707290533,0.0,0.01841723406630204
"Atopobium",0.0,0.0008970908624887864,0.0,0.012440695835529784,0.0,0.0,0.0,0.00022941041523285156,0.009921550530687587,0.004698318496538081,0.0013299480111232016,0.0,0.0
"Slackia",0.0,0.0002563116749967961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Selenomonas",0.0,0.0,0.0,0.008434370057986295,0.0,0.0,0.0,0.0011470520761642578,0.0025380710659898475,0.015702274975272008,0.0016926611050658929,0.0,0.004911262417680545
"Oceanobacillus",0.0,0.0,0.0,0.0,0.0,0.0,0.024437299035369776,0.0,0.0,0.0,0.0,0.0,0.0
"Planomicrobium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Planococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacillus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007254261878853826,0.0,0.0
"Salinicoccus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aliicoccus",0.0,0.0,0.0,0.0,0.0,0.0,0.03189710610932476,0.0008029364533149805,0.0,0.0,0.0,0.0,0.0
"Jeotgalicoccus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Staphylococcus",0.0,0.0,0.0012767315671879987,0.005060622034791776,0.003514762000401687,0.0,0.0,0.0,0.0,0.0,0.0029017047515415306,0.0,0.0005580980020091528
"uncultured",0.0,0.002691272587466359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[Eubacterium] nodatum group",0.0,0.0005126233499935922,0.0,0.0063257775434897206,0.0,0.0,0.0,0.0,0.00034610059990770653,0.0027200791295746785,0.00024180872929512756,0.0,0.0
"Butyrivibrio_2",0.0,0.0,0.0,0.006852925672113864,0.0,0.0,0.0,0.0,0.00023073373327180433,0.0027200791295746785,0.0,0.0,0.0021207724076347805
"Catonella",0.0,0.006664103549916698,0.0,0.0063257775434897206,0.0,0.0,0.013247588424437299,0.006308786418903418,0.0,0.005934718100890208,0.0035062265747793494,0.0,0.0016742940060274585
"uncultured",0.0,0.0,0.10650069156293222,0.0,0.0,0.0,0.0,0.001605872906629961,0.0,0.00605835806132542,0.0,0.0,0.0
"Johnsonella",0.0,0.0,0.029896797531652305,0.0,0.0,0.0,0.16154340836012862,0.005735260380821289,0.0,0.0,0.0,0.0,0.0
"Lachnoanaerobaculum",0.0,0.0,0.010852218321097989,0.0,0.0,0.0,0.0,0.0006882312456985547,0.00023073373327180433,0.002472799208704253,0.003868939668722041,0.0,0.0036834468132604086
"Oribacterium",0.0,0.023836985774702037,0.0,0.04185556141275699,0.0,0.0,0.0,0.025808671713695802,0.009229349330872173,0.02423343224530168,0.012574053923346633,0.0,0.014957026453845295
"Lachnospira",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Stomatobaculum",0.0,0.009996155324875048,0.0,0.002635740643120717,0.0,0.0,0.0,0.011470520761642579,0.0,0.000741839762611276,0.004231652762664732,0.0,0.0016742940060274585
"[Ruminococcus] gauvreauii group",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Megasphaera",0.0,0.0,0.0,0.0004217185028993147,0.0,0.0,0.0,0.0,0.0025380710659898475,0.000370919881305638,0.007616974972796518,0.0,0.00022323920080366113
"Dialister",0.0,0.0007689350249903883,0.0,0.00010542962572482868,0.0,0.0,0.0007717041800643086,0.0,0.0,0.0,0.0,0.0,0.0
"Anaerovibrio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured",0.0,0.0,0.0014895201617193318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Selenomonas_3",0.0,0.00012815583749839805,0.04649430790509629,0.0,0.0,0.0,0.0,0.0028676301904106446,0.001961236732810337,0.0028437190900098912,0.00012090436464756378,0.0,0.017524277263087397
"Veillonella",0.0,0.023836985774702037,0.02191722523672731,0.01739588824459673,0.0,0.0,0.0045016077170418,0.01938518008717596,0.08421781264420858,0.05650346191889219,0.13734735823963246,0.0,0.020314767273133163
"Ruminococcaceae UCG-005",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005198045534878886,0.0
"Ruminococcaceae UCG-014",0.0,0.0,0.007128417916799659,0.0015814443858724301,0.0,0.0,0.0,0.0010323468685478321,0.0,0.0,0.0,0.0,0.0
"Solobacterium",0.0,0.008201973599897475,0.0,0.02224565102793885,0.0,0.00010059350165979277,0.0,0.0014911676990135353,0.0013844023996308261,0.014465875370919881,0.007616974972796518,0.0,0.0003348588012054917
"Bulleidia",0.0,0.004998077662437524,0.0,0.006852925672113864,0.0,0.0,0.0,0.0004588208304657031,0.004730041532071989,0.0034619188921859545,0.0,0.0,0.0
"Alloiococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022323920080366113
"Dolosigranulum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atopostipes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07402016841667533,0.0
"Gemella",0.03178042614662333,0.11059848776111753,0.0015959144589849984,0.0005271481286241434,0.0,0.0,0.011061093247588425,0.07008488185363615,0.03772496538994001,0.08123145400593472,0.016080280498125984,0.0,0.1030248911708896
"Fusobacterium",0.0,0.0016660258874791746,0.039685072880093625,0.0,0.0,0.0,0.04077170418006431,0.048290892406515254,0.02284263959390863,0.022131552917903065,0.01728932414460162,0.0,0.062172117423819624
"Propionibacterium",0.2319730347899362,0.16737152377290784,0.3196084689860623,0.43774380600948865,0.7669210684876481,0.8691278543406096,0.26495176848874596,0.1254874971323698,0.02988001845869866,0.009272997032640949,0.06117760851166727,0.10105000519804554,0.01797075566469472
"Actinomyces",0.06837606837606838,0.10649750096116878,0.0941589530801149,0.09604638903531892,0.0,0.008047480132783422,0.09659163987138264,0.17102546455609086,0.15724503922473465,0.1824925816023739,0.06734373110869303,0.0023911009460442873,0.15861145217100123
"Propioniciclava",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mycobacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Actinopolyspora",0.00048152160828217165,0.0,0.0,0.0,0.0,0.002716024544814405,0.0,0.0,0.0,0.0009891196834817012,0.0,0.0,0.0
"Pseudonocardia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006882312456985547,0.0,0.0,0.0,0.0,0.0
"uncultured",0.0,0.00038446751249519417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Corynebacterium",0.0,0.0,0.12182147036918821,0.0,0.0001004217714400482,0.008148073634443215,0.0,0.009176416609314062,0.0,0.0009891196834817012,0.0,0.0,0.011720058042192208
"Corynebacterium_1",0.0,0.018838908112264515,0.00021278859453133312,0.0,0.03464551114681663,0.00030178050497937833,0.016720257234726688,0.0,0.0,0.0,0.0012090436464756377,0.015698097515334235,0.05402388659448599
"Gordonia",0.0,0.0,0.0,0.0,0.0,0.01629614726888643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured",0.0,0.0,0.002447068837110331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024180872929512756,0.0,0.0
"Micrococcus",0.0,0.0,0.0,0.0,0.0,0.0008047480132783422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arthrobacter",0.0007222824124232575,0.0,0.00042557718906266625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rothia",0.4488985193210545,0.0010252466999871844,0.0006383657835939994,0.03995782814971007,0.0002008435428800964,0.002313650538175234,0.011704180064308681,0.09463179628355127,0.01718966312874942,0.07208209693372898,0.026357151493168904,0.0,0.02969081370688693
"Quadrisphaera",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured Acidimicrobidae bacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010604012891152927,0.0
"Blastococcus",0.0,0.0,0.0,0.0,0.0009037959429604338,0.0,0.0,0.0020646937370956643,0.005191508998615597,0.0,0.0,0.0,0.0
"Microbacterium",0.0,0.0014097142124823785,0.002021491648047665,0.01591987348444913,0.003615183771841735,0.013680716225731818,0.006945337620578778,0.00034411562284927734,0.002076603599446239,0.0,0.0,0.2815261461690404,0.0
"Nocardioides",0.001203804020705429,0.0,0.0003191828917969997,0.0,0.0,0.0,0.007202572347266881,0.0004588208304657031,0.0,0.0,0.0,0.0072772637488304395,0.0
"Aquipuribacter",0.0,0.0,0.0,0.0,0.0004016870857601928,0.0,0.007845659163987138,0.0,0.0,0.0,0.0,0.0,0.0
"Janibacter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nesterenkonia",0.0,0.0,0.0,0.0005271481286241434,0.0,0.0,0.07421221864951769,0.0,0.0,0.0,0.0,0.0,0.0
"Yimella",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured",0.0,0.0,0.0027662517289073307,0.0,0.0,0.0,0.0,0.0012617572837806837,0.0,0.0,0.0,0.0,0.0
"Streptococcus",0.15252196942337787,0.24772523388440343,0.014682413022661985,0.06673695308381655,0.000502108857200241,0.0005029675082989639,0.01414790996784566,0.20084881853636155,0.08456391324411629,0.1367457962413452,0.09841615282311691,0.00010396091069757771,0.23685679205268445
