"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AB679296.1.1452","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans"
"ARCF01000025.3805.5342","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"DQ794988.1.1390","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"HQ781577.1.1455","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured organism"
"JQ465255.1.1376","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"FJ558213.1.1406","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"New.ReferenceOTU15","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"AB780903.1.1479","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"HQ452823.1.1452","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"AF432136.1.1523","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"FJ154803.1.1479","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"JQ453741.1.1405","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA
"HQ804762.1.1442","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"JQ470436.1.1406","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured organism"
"JQ470692.1.1406","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"HQ768280.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium"
"GQ448326.1.1372","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","uncultured bacterium"
"DQ794854.1.1388","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter",NA
"FJ684827.1.1387","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","uncultured bacterium"
"New.ReferenceOTU7","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"HQ813190.1.1469","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"GQ267944.1.1490","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus rhamnosus"
"FJ976001.1.1360","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"JN682003.1.1436","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum"
"EU456478.1.1430","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured Lactobacillaceae bacterium"
"EU510198.1.1418","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"FJ672273.1.1419","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"KF574954.1.1384","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","uncultured bacterium"
"JQ449848.1.1408","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","uncultured bacterium"
"HG799976.1.1622","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Fructobacillus","Leuconostoc mesenteroides"
"EF510740.1.1425","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","uncultured bacterium"
"EF510802.1.1459","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","uncultured bacterium"
"New.CleanUp.ReferenceOTU3253","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"FJ470412.1.1487","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",NA
"JQ474121.1.1403","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema_2","uncultured bacterium"
"New.CleanUp.ReferenceOTU369","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"KC619324.1.1465","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"JQ467931.1.1298","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Treponema_2","uncultured bacterium"
"HQ284971.1.1370","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter","uncultured bacterium"
"New.CleanUp.ReferenceOTU452","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11-12 marine group","uncultured bacterium","uncultured bacterium"
"FN421791.1.1370","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"DQ003626.1.1451","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"FJ470496.1.1497","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"FM997695.1.1430","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"New.CleanUp.ReferenceOTU1903","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"KF248417.1.1325","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"JQ460295.1.1424","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium"
"JQ449383.1.1401","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"HK241674.1.1513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"JQ467902.1.1389","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"AUFQ01000046.32.1280","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"HQ757512.1.1440","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"HQ774884.1.1441","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"AY672071.1.1502","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_6","uncultured bacterium"
"FM996549.1.1476","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_6","uncultured bacterium"
"New.CleanUp.ReferenceOTU666","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"GU592680.1.1403","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","uncultured bacterium"
"GU592696.1.1506","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","uncultured bacterium"
"FM996759.1.1460","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"JQ463667.1.1394","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"JQ465935.1.1398","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"HK241634.1.1509","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"BAKN01000060.1.1386","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2",NA
"AY957555.1.1394","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","uncultured bacterium"
"JQ474056.1.1401","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","uncultured bacterium"
"JQ475468.1.1351","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2","uncultured bacterium"
"AY349398.1.1521","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2",NA
"AY550998.1.1243","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2",NA
"JQ447867.1.1429","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2",NA
"FJ470582.1.1494","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2","uncultured bacterium"
"FM996777.1.1459","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"FM997245.1.1463","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"JQ474000.1.1397","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","uncultured bacterium"
"JQ462618.1.1403","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"HK241635.10.1522","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"JQ474179.1.1395","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"AY207050.1.1452","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"JQ460482.1.1399","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"JQ468300.1.1423","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"JQ460171.1.1395","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
"JQ460226.1.1424","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","uncultured bacterium"
